Drilling_ID,Setup_Time_Hours,Drilling_Time_Hours,Maintenance_Time_Hours,Equipment_MTBF_Hours,Worker_Shift_Hours,Worker_Efficiency_Score,Supply_Delivery_Days,Weather_Condition,Terrain_Type,Total_Time_Hours,Drilling_Efficiency
1,2,34,9,316,7,68.38,8,Rain,Sandy,45,0.7555555555555555
2,7,85,21,451,8,61.24,2,Clear,Mixed,113,0.7522123893805309
3,2,62,9,181,9,96.05,8,Clear,Sandy,73,0.8493150684931506
4,4,73,14,342,9,81.91,14,Clear,Rocky,91,0.8021978021978022
5,6,99,28,226,8,76.72,2,Rain,Mixed,133,0.7443609022556391
6,2,78,6,356,8,72.7,10,Rain,Rocky,86,0.9069767441860465
7,6,20,25,104,11,86.61,13,Rain,Rocky,51,0.39215686274509803
8,8,28,14,168,11,72.87,5,Storm,Mixed,50,0.56
9,6,96,25,101,6,75.16,6,Foggy,Mixed,127,0.7559055118110236
10,7,43,16,313,10,79.77,14,Storm,Clay,66,0.6515151515151515
11,5,65,10,169,10,97.97,8,Storm,Rocky,80,0.8125
12,5,33,28,351,9,84.95,9,Storm,Mixed,66,0.5
13,5,49,10,248,9,97.27,14,Storm,Clay,64,0.765625
14,4,96,24,445,10,69.9,6,Storm,Clay,124,0.7741935483870968
15,6,30,24,192,9,99.59,10,Clear,Rocky,60,0.5
16,9,81,19,491,7,89.64,6,Clear,Clay,109,0.7431192660550459
17,6,77,22,431,9,74.81,8,Foggy,Mixed,105,0.7333333333333333
18,8,81,18,275,8,75.69,6,Rain,Sandy,107,0.7570093457943925
19,7,98,19,261,9,79.89,6,Clear,Sandy,124,0.7903225806451613
20,3,98,7,351,8,94.18,11,Rain,Rocky,108,0.9074074074074074
21,6,56,26,267,9,94.76,5,Storm,Mixed,88,0.6363636363636364
22,4,73,6,142,8,82.23,1,Clear,Clay,83,0.8795180722891566
23,7,77,18,349,9,62.2,1,Storm,Mixed,102,0.7549019607843137
24,3,45,7,253,9,73.08,13,Rain,Mixed,55,0.8181818181818182
25,4,75,21,257,8,62.14,1,Foggy,Rocky,100,0.75
26,6,92,13,288,6,81.87,12,Clear,Mixed,111,0.8288288288288288
27,8,31,29,429,10,98.39,5,Foggy,Mixed,68,0.45588235294117646
28,4,53,12,336,9,73.79,6,Clear,Clay,69,0.7681159420289855
29,3,39,25,443,11,81.17,5,Storm,Sandy,67,0.582089552238806
30,5,51,28,497,11,89.62,4,Clear,Rocky,84,0.6071428571428571
31,8,32,22,444,7,90.27,6,Storm,Mixed,62,0.5161290322580645
32,3,49,5,422,9,79.15,4,Clear,Sandy,57,0.8596491228070176
33,9,98,17,386,8,84.78,6,Foggy,Sandy,124,0.7903225806451613
34,6,83,22,128,8,94.33,1,Clear,Rocky,111,0.7477477477477478
35,9,78,14,472,10,78.84,7,Clear,Mixed,101,0.7722772277227723
36,9,90,26,294,11,64.52,2,Clear,Clay,125,0.72
37,8,82,8,255,9,94.65,14,Clear,Clay,98,0.8367346938775511
38,5,80,15,127,9,92.64,3,Storm,Rocky,100,0.8
39,5,82,21,401,6,76.56,1,Storm,Sandy,108,0.7592592592592593
40,2,96,13,479,10,95.59,14,Storm,Sandy,111,0.8648648648648649
41,7,78,28,184,8,85.52,3,Foggy,Clay,113,0.6902654867256637
42,7,21,12,346,6,83.67,2,Rain,Rocky,40,0.525
43,7,70,29,159,7,99.07,5,Storm,Rocky,106,0.660377358490566
44,4,91,24,376,6,64.56,3,Clear,Sandy,119,0.7647058823529411
45,4,27,14,408,10,75.15,5,Clear,Clay,45,0.6
46,8,62,13,157,6,96.59,4,Foggy,Clay,83,0.7469879518072289
47,6,86,14,356,6,66.88,1,Clear,Rocky,106,0.8113207547169812
48,7,83,27,185,6,71.65,11,Clear,Rocky,117,0.7094017094017094
49,9,69,26,423,11,60.23,2,Storm,Clay,104,0.6634615384615384
50,6,58,17,460,11,90.01,12,Rain,Sandy,81,0.7160493827160493
51,4,31,22,420,9,74.45,8,Storm,Mixed,57,0.543859649122807
52,2,21,20,456,11,74.17,3,Foggy,Clay,43,0.4883720930232558
53,2,28,12,226,10,89.13,7,Foggy,Clay,42,0.6666666666666666
54,4,26,9,403,6,84.17,7,Storm,Rocky,39,0.6666666666666666
55,9,61,26,171,10,87.37,3,Storm,Clay,96,0.6354166666666666
56,8,49,5,384,9,63.75,11,Clear,Rocky,62,0.7903225806451613
57,7,50,6,469,9,98.43,3,Foggy,Rocky,63,0.7936507936507936
58,2,74,20,281,9,69.91,14,Rain,Clay,96,0.7708333333333334
59,2,79,21,403,8,79.27,3,Storm,Mixed,102,0.7745098039215687
60,6,49,13,392,7,69.52,5,Rain,Sandy,68,0.7205882352941176
61,4,31,6,155,6,77.79,11,Foggy,Rocky,41,0.7560975609756098
62,7,43,20,214,6,77.98,5,Foggy,Mixed,70,0.6142857142857143
63,3,27,20,399,10,76.08,9,Rain,Sandy,50,0.54
64,3,96,28,442,10,92.59,5,Rain,Rocky,127,0.7559055118110236
65,8,56,15,300,10,85.91,2,Clear,Clay,79,0.7088607594936709
66,6,68,5,314,6,68.48,2,Foggy,Rocky,79,0.8607594936708861
67,9,82,26,195,9,60.95,13,Foggy,Sandy,117,0.7008547008547008
68,4,65,26,447,10,73.05,4,Clear,Rocky,95,0.6842105263157895
69,5,22,8,415,6,67.86,2,Rain,Rocky,35,0.6285714285714286
70,8,30,9,390,6,82.12,6,Clear,Clay,47,0.6382978723404256
71,7,57,18,325,11,82.97,7,Clear,Rocky,82,0.6951219512195121
72,4,35,7,475,10,66.22,1,Foggy,Mixed,46,0.7608695652173914
73,6,33,7,154,8,78.96,12,Foggy,Clay,46,0.717391304347826
74,7,23,18,423,11,75.34,2,Clear,Rocky,48,0.4791666666666667
75,7,38,14,403,8,82.33,14,Clear,Clay,59,0.6440677966101694
76,9,67,28,372,9,82.52,14,Clear,Mixed,104,0.6442307692307693
77,7,28,11,167,11,94.0,2,Storm,Sandy,46,0.6086956521739131
78,5,56,29,158,6,69.9,5,Clear,Mixed,90,0.6222222222222222
79,9,36,17,362,7,90.18,3,Foggy,Sandy,62,0.5806451612903226
80,8,91,29,115,8,90.86,10,Storm,Clay,128,0.7109375
81,6,63,24,352,11,70.87,6,Storm,Clay,93,0.6774193548387096
82,4,45,8,122,9,82.66,14,Clear,Rocky,57,0.7894736842105263
83,4,20,7,499,7,63.38,11,Clear,Clay,31,0.6451612903225806
84,9,74,24,197,7,84.02,8,Foggy,Mixed,107,0.6915887850467289
85,6,78,27,373,9,96.22,2,Storm,Clay,111,0.7027027027027027
86,7,20,17,168,11,77.63,5,Foggy,Rocky,44,0.45454545454545453
87,9,96,14,361,11,87.87,13,Storm,Rocky,119,0.8067226890756303
88,5,40,12,330,11,99.24,9,Foggy,Clay,57,0.7017543859649122
89,7,91,27,432,10,98.08,8,Storm,Sandy,125,0.728
90,6,45,7,323,9,89.91,2,Clear,Clay,58,0.7758620689655172
91,2,43,22,451,7,61.74,11,Rain,Rocky,67,0.6417910447761194
92,9,74,29,232,10,70.18,14,Foggy,Clay,112,0.6607142857142857
93,9,45,28,133,7,98.18,13,Foggy,Rocky,82,0.5487804878048781
94,4,33,17,103,6,84.79,8,Rain,Clay,54,0.6111111111111112
95,5,56,6,483,7,72.29,2,Foggy,Rocky,67,0.835820895522388
96,7,56,21,478,11,92.32,3,Clear,Sandy,84,0.6666666666666666
97,9,61,22,387,7,64.09,8,Rain,Rocky,92,0.6630434782608695
98,6,83,26,337,7,80.02,4,Foggy,Clay,115,0.7217391304347827
99,5,32,11,477,6,90.17,10,Clear,Rocky,48,0.6666666666666666
100,6,71,18,358,11,81.11,13,Clear,Rocky,95,0.7473684210526316
101,7,35,14,273,8,96.49,6,Clear,Sandy,56,0.625
102,3,20,26,111,9,90.5,1,Rain,Rocky,49,0.40816326530612246
103,5,52,22,109,10,96.28,12,Clear,Mixed,79,0.6582278481012658
104,2,89,25,460,10,66.25,12,Foggy,Rocky,116,0.7672413793103449
105,3,99,5,427,8,86.7,14,Rain,Clay,107,0.9252336448598131
106,5,31,21,230,11,72.32,4,Rain,Sandy,57,0.543859649122807
107,3,84,8,126,7,88.06,2,Clear,Rocky,95,0.8842105263157894
108,2,76,21,381,6,91.02,2,Storm,Mixed,99,0.7676767676767676
109,8,99,6,165,8,85.86,5,Foggy,Mixed,113,0.8761061946902655
110,4,86,14,434,6,74.15,7,Rain,Rocky,104,0.8269230769230769
111,4,85,17,290,11,64.24,13,Foggy,Mixed,106,0.8018867924528302
112,5,28,11,241,9,65.71,9,Foggy,Clay,44,0.6363636363636364
113,4,39,18,374,6,68.8,2,Storm,Mixed,61,0.639344262295082
114,9,48,15,242,7,64.8,14,Rain,Mixed,72,0.6666666666666666
115,9,37,13,130,7,70.56,13,Storm,Mixed,59,0.6271186440677966
116,4,74,15,271,10,86.05,3,Clear,Rocky,93,0.7956989247311828
117,5,31,20,484,11,95.53,9,Clear,Sandy,56,0.5535714285714286
118,8,95,11,333,7,79.76,11,Foggy,Clay,114,0.8333333333333334
119,6,33,11,253,6,84.05,6,Rain,Sandy,50,0.66
120,8,84,16,122,7,90.88,1,Storm,Mixed,108,0.7777777777777778
121,9,80,12,137,7,80.73,13,Clear,Mixed,101,0.7920792079207921
122,9,26,10,453,6,91.79,13,Clear,Clay,45,0.5777777777777777
123,7,90,19,340,8,64.43,10,Clear,Mixed,116,0.7758620689655172
124,4,64,20,492,9,90.09,4,Clear,Mixed,88,0.7272727272727273
125,5,86,6,375,9,74.06,7,Rain,Mixed,97,0.8865979381443299
126,3,83,15,391,11,73.59,4,Rain,Mixed,101,0.8217821782178217
127,2,79,17,399,9,75.67,5,Foggy,Mixed,98,0.8061224489795918
128,2,25,19,134,11,76.94,10,Rain,Mixed,46,0.5434782608695652
129,7,66,23,426,6,80.92,12,Clear,Mixed,96,0.6875
130,2,95,20,179,7,71.32,2,Rain,Rocky,117,0.811965811965812
131,7,71,14,249,8,93.44,6,Foggy,Sandy,92,0.7717391304347826
132,4,37,24,239,8,88.67,6,Rain,Clay,65,0.5692307692307692
133,4,95,7,367,7,98.67,5,Rain,Sandy,106,0.8962264150943396
134,7,30,5,333,6,61.56,11,Rain,Rocky,42,0.7142857142857143
135,8,57,21,307,6,85.65,12,Rain,Sandy,86,0.6627906976744186
136,6,84,8,249,6,78.38,13,Clear,Rocky,98,0.8571428571428571
137,5,27,9,144,10,93.58,5,Foggy,Rocky,41,0.6585365853658537
138,4,28,25,308,8,86.31,14,Clear,Sandy,57,0.49122807017543857
139,8,72,29,220,11,73.45,3,Storm,Sandy,109,0.6605504587155964
140,9,38,21,428,7,78.08,9,Storm,Clay,68,0.5588235294117647
141,5,97,8,398,6,86.84,14,Foggy,Mixed,110,0.8818181818181818
142,3,69,10,330,7,69.05,8,Rain,Clay,82,0.8414634146341463
143,3,93,23,285,11,76.02,12,Foggy,Mixed,119,0.7815126050420168
144,9,58,18,234,7,71.34,1,Clear,Clay,85,0.6823529411764706
145,4,77,26,272,10,98.26,12,Foggy,Clay,107,0.719626168224299
146,3,83,24,366,11,60.31,14,Foggy,Clay,110,0.7545454545454545
147,7,53,16,191,6,81.02,13,Foggy,Sandy,76,0.6973684210526315
148,9,52,9,403,10,83.3,12,Rain,Clay,70,0.7428571428571429
149,9,23,11,220,9,94.63,7,Clear,Clay,43,0.5348837209302325
150,8,30,20,289,9,80.21,2,Storm,Mixed,58,0.5172413793103449
151,2,29,18,385,10,64.74,6,Storm,Clay,49,0.5918367346938775
152,4,96,26,289,6,97.8,10,Storm,Sandy,126,0.7619047619047619
153,6,92,25,463,9,87.31,8,Storm,Mixed,123,0.7479674796747967
154,6,72,29,135,9,67.37,4,Foggy,Sandy,107,0.6728971962616822
155,4,36,25,347,6,87.88,9,Foggy,Rocky,65,0.5538461538461539
156,4,55,29,351,6,78.77,10,Rain,Sandy,88,0.625
157,6,49,27,490,6,64.5,10,Storm,Clay,82,0.5975609756097561
158,6,77,29,191,6,62.81,9,Foggy,Mixed,112,0.6875
159,9,67,5,122,7,64.46,2,Rain,Mixed,81,0.8271604938271605
160,8,99,20,336,7,77.84,10,Clear,Rocky,127,0.7795275590551181
161,7,99,5,227,6,81.82,14,Storm,Mixed,111,0.8918918918918919
162,5,56,23,318,11,73.68,8,Clear,Clay,84,0.6666666666666666
163,9,23,14,108,8,79.89,12,Clear,Sandy,46,0.5
164,5,22,16,244,7,91.67,8,Clear,Rocky,43,0.5116279069767442
165,5,76,25,336,7,90.1,12,Rain,Rocky,106,0.7169811320754716
166,8,29,7,317,9,63.3,11,Rain,Sandy,44,0.6590909090909091
167,4,67,21,461,10,77.76,10,Foggy,Clay,92,0.7282608695652174
168,8,99,28,237,6,93.86,8,Clear,Clay,135,0.7333333333333333
169,8,55,24,198,7,94.42,8,Foggy,Clay,87,0.632183908045977
170,2,78,13,459,7,82.47,10,Rain,Mixed,93,0.8387096774193549
171,7,95,28,373,8,62.1,7,Storm,Clay,130,0.7307692307692307
172,2,91,5,343,11,60.01,10,Foggy,Sandy,98,0.9285714285714286
173,4,47,14,381,7,91.6,12,Clear,Clay,65,0.7230769230769231
174,9,54,13,341,8,98.32,14,Storm,Sandy,76,0.7105263157894737
175,3,77,20,307,8,96.39,10,Foggy,Mixed,100,0.77
176,2,30,10,446,8,61.7,8,Rain,Clay,42,0.7142857142857143
177,2,38,14,186,10,66.23,3,Clear,Mixed,54,0.7037037037037037
178,9,67,16,268,7,71.55,6,Foggy,Sandy,92,0.7282608695652174
179,5,86,18,285,8,80.85,1,Rain,Rocky,109,0.7889908256880734
180,5,86,29,392,6,74.37,10,Clear,Clay,120,0.7166666666666667
181,8,97,16,184,7,74.36,3,Storm,Sandy,121,0.8016528925619835
182,5,55,19,175,9,93.91,4,Foggy,Sandy,79,0.6962025316455697
183,3,41,19,389,10,85.06,4,Foggy,Clay,63,0.6507936507936508
184,3,81,27,232,6,69.97,8,Rain,Clay,111,0.7297297297297297
185,7,59,8,374,8,89.99,9,Storm,Sandy,74,0.7972972972972973
186,7,20,8,174,10,74.66,2,Storm,Sandy,35,0.5714285714285714
187,2,29,19,124,7,61.71,10,Storm,Clay,50,0.58
188,4,24,29,250,8,88.86,5,Foggy,Mixed,57,0.42105263157894735
189,4,39,7,338,6,72.92,9,Storm,Mixed,50,0.78
190,4,61,5,360,6,93.43,2,Foggy,Sandy,70,0.8714285714285714
191,4,59,6,129,10,75.67,2,Rain,Rocky,69,0.855072463768116
192,7,87,9,298,10,87.99,4,Rain,Sandy,103,0.8446601941747572
193,7,27,5,398,7,95.66,13,Storm,Rocky,39,0.6923076923076923
194,6,79,8,314,9,92.47,8,Clear,Rocky,93,0.8494623655913979
195,6,54,20,301,6,89.52,1,Foggy,Sandy,80,0.675
196,5,77,18,202,11,70.04,7,Foggy,Rocky,100,0.77
197,4,26,29,496,8,92.33,3,Foggy,Clay,59,0.4406779661016949
198,6,50,9,394,11,77.69,4,Rain,Clay,65,0.7692307692307693
199,3,90,16,266,7,73.76,11,Foggy,Clay,109,0.8256880733944955
200,7,37,27,108,6,91.3,3,Foggy,Rocky,71,0.5211267605633803
201,7,55,6,314,6,60.21,1,Storm,Sandy,68,0.8088235294117647
202,5,93,26,469,6,65.22,14,Clear,Rocky,124,0.75
203,5,61,25,165,11,89.08,2,Storm,Clay,91,0.6703296703296703
204,3,40,20,495,6,79.2,8,Storm,Rocky,63,0.6349206349206349
205,6,85,12,105,6,89.18,3,Rain,Rocky,103,0.8252427184466019
206,3,79,23,241,8,98.26,10,Storm,Mixed,105,0.7523809523809524
207,6,25,12,265,11,66.65,3,Rain,Mixed,43,0.5813953488372093
208,2,98,24,271,6,75.21,14,Clear,Sandy,124,0.7903225806451613
209,9,58,14,455,7,73.68,9,Clear,Mixed,81,0.7160493827160493
210,6,71,7,308,6,69.9,14,Rain,Clay,84,0.8452380952380952
211,6,34,27,499,11,70.11,4,Clear,Rocky,67,0.5074626865671642
212,5,26,13,145,11,71.4,11,Rain,Rocky,44,0.5909090909090909
213,3,41,13,253,9,76.72,2,Storm,Rocky,57,0.7192982456140351
214,5,42,11,280,8,72.68,8,Rain,Rocky,58,0.7241379310344828
215,6,75,16,288,6,71.33,2,Storm,Rocky,97,0.7731958762886598
216,9,86,28,165,7,72.85,9,Rain,Rocky,123,0.6991869918699187
217,6,77,28,419,9,96.54,1,Rain,Sandy,111,0.6936936936936937
218,8,97,20,456,6,67.24,13,Clear,Rocky,125,0.776
219,6,69,27,298,11,81.5,14,Storm,Mixed,102,0.6764705882352942
220,6,78,11,320,7,95.61,2,Storm,Sandy,95,0.8210526315789474
221,9,54,5,220,11,83.15,1,Clear,Rocky,68,0.7941176470588235
222,9,27,20,386,9,96.14,6,Rain,Mixed,56,0.48214285714285715
223,3,92,27,453,8,66.17,12,Rain,Mixed,122,0.7540983606557377
224,9,35,23,491,11,88.95,8,Foggy,Clay,67,0.5223880597014925
225,4,84,8,275,7,62.97,6,Clear,Clay,96,0.875
226,4,45,9,235,10,73.66,2,Clear,Mixed,58,0.7758620689655172
227,6,27,16,213,8,86.87,8,Clear,Sandy,49,0.5510204081632653
228,2,96,21,389,7,68.94,13,Foggy,Sandy,119,0.8067226890756303
229,2,56,13,389,10,64.4,13,Clear,Sandy,71,0.7887323943661971
230,6,87,24,123,11,89.9,11,Foggy,Rocky,117,0.7435897435897436
231,4,88,6,388,11,68.8,2,Storm,Mixed,98,0.8979591836734694
232,3,95,27,217,11,91.17,2,Rain,Rocky,125,0.76
233,2,26,10,471,11,94.66,11,Foggy,Mixed,38,0.6842105263157895
234,7,36,9,217,11,62.96,7,Rain,Mixed,52,0.6923076923076923
235,3,55,23,494,7,78.89,3,Rain,Rocky,81,0.6790123456790124
236,6,95,11,460,6,61.55,9,Clear,Rocky,112,0.8482142857142857
237,4,52,11,124,10,80.7,2,Rain,Clay,67,0.7761194029850746
238,5,92,15,182,6,77.15,11,Storm,Clay,112,0.8214285714285714
239,4,91,9,148,7,72.75,11,Clear,Clay,104,0.875
240,7,95,26,474,6,99.15,5,Foggy,Sandy,128,0.7421875
241,4,52,21,235,9,60.5,4,Clear,Rocky,77,0.6753246753246753
242,8,91,24,329,9,90.48,9,Rain,Rocky,123,0.7398373983739838
243,6,73,15,437,8,61.46,10,Rain,Clay,94,0.776595744680851
244,9,74,28,384,7,81.42,5,Clear,Clay,111,0.6666666666666666
245,5,66,17,154,7,70.24,4,Rain,Rocky,88,0.75
246,7,88,9,389,9,69.76,4,Foggy,Mixed,104,0.8461538461538461
247,4,50,17,411,6,77.59,1,Foggy,Mixed,71,0.704225352112676
248,7,30,10,180,6,62.24,7,Foggy,Clay,47,0.6382978723404256
249,9,70,18,408,9,84.27,11,Clear,Clay,97,0.7216494845360825
