Drilling_ID,Setup_Time_Hours,Drilling_Time_Hours,Maintenance_Time_Hours,Equipment_MTBF_Hours,Worker_Shift_Hours,Worker_Efficiency_Score,Supply_Delivery_Days,Weather_Condition,Terrain_Type,Total_Time_Hours,Drilling_Efficiency
250,7,33,23,457,8,64.04,5,Clear,Rocky,63,0.5238095238095238
251,8,45,12,471,7,65.27,10,Foggy,Clay,65,0.6923076923076923
252,2,83,19,493,11,63.47,9,Storm,Rocky,104,0.7980769230769231
253,8,83,24,427,11,87.77,12,Foggy,Clay,115,0.7217391304347827
254,6,84,20,364,8,66.04,2,Foggy,Rocky,110,0.7636363636363637
255,3,49,12,114,6,67.63,11,Storm,Sandy,64,0.765625
256,6,55,7,320,8,91.29,3,Rain,Sandy,68,0.8088235294117647
257,9,66,5,214,8,82.0,11,Foggy,Mixed,80,0.825
258,9,88,25,496,7,64.38,10,Clear,Mixed,122,0.7213114754098361
259,9,28,29,207,9,82.89,13,Storm,Mixed,66,0.42424242424242425
260,2,67,19,372,9,87.35,6,Foggy,Mixed,88,0.7613636363636364
261,2,20,12,464,9,81.21,7,Clear,Mixed,34,0.5882352941176471
262,7,24,22,134,9,74.0,10,Foggy,Sandy,53,0.4528301886792453
263,8,56,16,432,11,62.74,9,Clear,Mixed,80,0.7
264,9,36,23,298,9,70.77,14,Clear,Rocky,68,0.5294117647058824
265,7,46,14,199,10,86.83,11,Foggy,Mixed,67,0.6865671641791045
266,5,22,13,242,7,73.55,5,Foggy,Mixed,40,0.55
267,7,58,24,495,8,91.09,14,Rain,Mixed,89,0.651685393258427
268,5,87,27,124,6,87.12,9,Rain,Rocky,119,0.7310924369747899
269,8,93,13,130,10,70.21,3,Storm,Sandy,114,0.8157894736842105
270,2,74,28,425,9,86.3,10,Storm,Clay,104,0.7115384615384616
271,5,91,6,310,8,62.6,4,Clear,Clay,102,0.8921568627450981
272,2,82,23,311,11,98.68,5,Storm,Mixed,107,0.7663551401869159
273,2,92,5,348,9,84.62,6,Clear,Mixed,99,0.9292929292929293
274,6,65,23,130,8,67.77,9,Clear,Rocky,94,0.6914893617021277
275,5,57,15,351,9,82.01,2,Clear,Sandy,77,0.7402597402597403
276,9,91,12,478,11,85.88,2,Rain,Sandy,112,0.8125
277,5,85,26,272,8,97.0,13,Clear,Sandy,116,0.7327586206896551
278,2,67,5,451,8,63.74,6,Storm,Rocky,74,0.9054054054054054
279,5,75,26,153,6,99.17,7,Clear,Mixed,106,0.7075471698113207
280,9,55,13,380,9,98.93,3,Storm,Sandy,77,0.7142857142857143
281,6,58,28,132,11,85.68,6,Foggy,Rocky,92,0.6304347826086957
282,7,91,23,387,6,96.87,2,Clear,Mixed,121,0.7520661157024794
283,4,23,26,282,10,91.71,5,Foggy,Rocky,53,0.4339622641509434
284,7,83,17,280,7,84.83,13,Rain,Rocky,107,0.7757009345794392
285,2,56,12,379,11,89.21,8,Foggy,Sandy,70,0.8
286,7,98,23,162,10,96.05,5,Clear,Rocky,128,0.765625
287,3,77,19,293,8,76.66,1,Rain,Rocky,99,0.7777777777777778
288,5,86,25,479,6,79.12,9,Storm,Sandy,116,0.7413793103448276
289,9,37,27,468,9,72.87,1,Clear,Mixed,73,0.5068493150684932
290,4,57,10,478,10,78.94,6,Foggy,Sandy,71,0.8028169014084507
291,4,30,12,359,11,87.79,5,Foggy,Sandy,46,0.6521739130434783
292,3,80,24,445,6,72.95,2,Foggy,Mixed,107,0.7476635514018691
293,8,81,28,279,11,99.7,4,Clear,Mixed,117,0.6923076923076923
294,4,43,10,451,8,86.5,6,Clear,Rocky,57,0.7543859649122807
295,3,46,9,308,10,85.21,4,Foggy,Mixed,58,0.7931034482758621
296,9,66,24,291,9,66.23,6,Storm,Mixed,99,0.6666666666666666
297,8,52,25,254,9,89.05,11,Storm,Mixed,85,0.611764705882353
298,6,20,15,171,9,64.01,5,Foggy,Clay,41,0.4878048780487805
299,7,82,14,180,6,84.53,14,Foggy,Mixed,103,0.7961165048543689
300,6,89,19,363,7,94.01,1,Foggy,Clay,114,0.7807017543859649
301,7,44,11,289,10,61.16,8,Clear,Rocky,62,0.7096774193548387
302,4,58,16,192,7,65.19,14,Storm,Clay,78,0.7435897435897436
303,2,66,16,286,9,91.61,2,Storm,Mixed,84,0.7857142857142857
304,8,90,27,299,6,75.27,8,Rain,Clay,125,0.72
305,3,82,16,168,7,95.59,7,Storm,Clay,101,0.8118811881188119
306,3,73,27,261,11,74.03,3,Clear,Mixed,103,0.7087378640776699
307,4,32,29,251,8,75.74,7,Rain,Mixed,65,0.49230769230769234
308,6,26,13,358,10,90.52,10,Clear,Sandy,45,0.5777777777777777
309,2,69,8,256,11,81.52,3,Clear,Rocky,79,0.8734177215189873
310,9,74,7,372,8,73.27,11,Storm,Rocky,90,0.8222222222222222
311,2,80,26,493,7,82.47,2,Clear,Rocky,108,0.7407407407407407
312,2,52,14,206,9,78.59,10,Rain,Sandy,68,0.7647058823529411
313,7,65,18,374,9,62.68,11,Rain,Sandy,90,0.7222222222222222
314,2,47,9,245,9,65.59,3,Foggy,Sandy,58,0.8103448275862069
315,2,96,19,495,8,94.48,10,Clear,Mixed,117,0.8205128205128205
316,7,26,24,229,9,87.13,7,Storm,Rocky,57,0.45614035087719296
317,3,33,27,274,6,67.39,13,Storm,Clay,63,0.5238095238095238
318,9,73,7,194,10,70.47,2,Foggy,Mixed,89,0.8202247191011236
319,7,59,26,248,8,81.35,12,Clear,Mixed,92,0.6413043478260869
320,9,46,29,175,11,99.29,13,Storm,Clay,84,0.5476190476190477
321,2,66,13,464,7,78.68,14,Clear,Mixed,81,0.8148148148148148
322,5,96,27,207,9,86.18,5,Clear,Sandy,128,0.75
323,9,47,23,145,7,63.7,3,Storm,Mixed,79,0.5949367088607594
324,9,42,10,296,6,68.36,11,Storm,Rocky,61,0.6885245901639344
325,2,85,18,474,6,62.51,3,Clear,Mixed,105,0.8095238095238095
326,2,76,10,415,10,89.94,12,Clear,Rocky,88,0.8636363636363636
327,9,87,21,110,9,80.36,4,Storm,Rocky,117,0.7435897435897436
328,8,20,20,133,10,95.99,11,Rain,Sandy,48,0.4166666666666667
329,7,55,13,420,7,83.35,5,Storm,Clay,75,0.7333333333333333
330,5,53,22,108,10,60.46,11,Storm,Mixed,80,0.6625
331,9,37,19,491,7,87.33,12,Storm,Sandy,65,0.5692307692307692
332,7,66,15,174,9,62.96,2,Storm,Clay,88,0.75
333,2,26,26,447,7,60.13,5,Foggy,Sandy,54,0.48148148148148145
334,3,73,28,455,8,98.27,12,Clear,Clay,104,0.7019230769230769
335,5,72,29,499,11,74.85,1,Foggy,Rocky,106,0.6792452830188679
336,8,69,8,476,10,97.92,14,Clear,Sandy,85,0.8117647058823529
337,6,69,19,262,9,75.19,5,Foggy,Rocky,94,0.7340425531914894
338,8,66,16,228,7,80.23,2,Rain,Mixed,90,0.7333333333333333
339,5,39,27,194,9,93.19,10,Clear,Clay,71,0.5492957746478874
340,9,28,21,289,11,73.1,8,Foggy,Sandy,58,0.4827586206896552
341,3,35,16,336,7,80.52,3,Foggy,Rocky,54,0.6481481481481481
342,5,25,15,328,11,60.5,6,Clear,Mixed,45,0.5555555555555556
343,2,78,27,211,11,98.78,13,Rain,Mixed,107,0.7289719626168224
344,8,46,21,388,9,98.32,14,Clear,Clay,75,0.6133333333333333
345,6,79,24,401,10,67.97,3,Rain,Rocky,109,0.7247706422018348
346,5,65,5,451,9,60.53,11,Clear,Mixed,75,0.8666666666666667
347,5,69,16,200,9,82.11,5,Clear,Clay,90,0.7666666666666667
348,5,24,28,396,11,88.55,14,Foggy,Mixed,57,0.42105263157894735
349,4,79,17,138,9,88.45,4,Rain,Clay,100,0.79
350,7,76,24,363,10,73.21,10,Foggy,Rocky,107,0.7102803738317757
351,7,42,17,118,6,81.81,8,Foggy,Sandy,66,0.6363636363636364
352,8,80,27,332,7,88.01,7,Storm,Mixed,115,0.6956521739130435
353,2,89,15,278,6,64.26,6,Clear,Clay,106,0.839622641509434
354,6,83,7,391,6,71.07,8,Foggy,Clay,96,0.8645833333333334
355,5,21,12,355,8,93.33,2,Rain,Rocky,38,0.5526315789473685
356,2,47,24,447,8,71.48,2,Rain,Clay,73,0.6438356164383562
357,4,57,21,487,10,86.82,4,Storm,Sandy,82,0.6951219512195121
358,3,24,19,424,10,81.85,14,Storm,Rocky,46,0.5217391304347826
359,7,94,11,217,7,69.56,13,Rain,Rocky,112,0.8392857142857143
360,6,48,13,127,8,90.53,8,Clear,Mixed,67,0.7164179104477612
361,6,66,14,471,7,79.65,9,Storm,Rocky,86,0.7674418604651163
362,5,22,12,312,11,94.72,9,Rain,Rocky,39,0.5641025641025641
363,3,58,15,282,11,86.38,2,Storm,Mixed,76,0.7631578947368421
364,3,93,6,391,9,77.03,8,Rain,Mixed,102,0.9117647058823529
365,2,87,25,251,11,66.83,11,Rain,Mixed,114,0.7631578947368421
366,5,92,17,383,8,70.76,4,Foggy,Clay,114,0.8070175438596491
367,9,96,14,316,11,99.97,12,Clear,Mixed,119,0.8067226890756303
368,9,35,11,420,11,91.65,5,Storm,Rocky,55,0.6363636363636364
369,7,96,29,326,8,85.82,4,Rain,Mixed,132,0.7272727272727273
370,6,21,29,348,6,62.31,13,Clear,Sandy,56,0.375
371,4,69,9,111,11,67.48,7,Rain,Sandy,82,0.8414634146341463
372,4,34,7,379,8,95.84,9,Rain,Sandy,45,0.7555555555555555
373,9,53,5,186,8,86.23,6,Storm,Clay,67,0.7910447761194029
374,3,72,10,181,11,92.23,10,Foggy,Rocky,85,0.8470588235294118
375,4,39,22,469,6,82.74,3,Storm,Mixed,65,0.6
376,9,82,8,195,7,79.68,5,Clear,Rocky,99,0.8282828282828283
377,7,66,26,106,8,79.07,6,Storm,Mixed,99,0.6666666666666666
378,6,46,23,323,6,90.87,8,Storm,Rocky,75,0.6133333333333333
379,7,73,27,354,10,85.95,6,Foggy,Mixed,107,0.6822429906542056
380,9,48,14,464,8,65.07,9,Clear,Sandy,71,0.676056338028169
381,8,91,9,273,9,99.34,1,Clear,Sandy,108,0.8425925925925926
382,3,85,23,442,7,89.56,11,Clear,Mixed,111,0.7657657657657657
383,2,74,26,319,10,86.2,3,Clear,Rocky,102,0.7254901960784313
384,5,34,16,495,10,82.53,8,Storm,Clay,55,0.6181818181818182
385,9,24,20,483,9,61.14,12,Storm,Clay,53,0.4528301886792453
386,8,47,24,205,9,63.47,6,Storm,Clay,79,0.5949367088607594
387,2,97,12,326,11,82.69,10,Foggy,Rocky,111,0.8738738738738738
388,2,45,17,494,10,67.64,5,Foggy,Clay,64,0.703125
389,9,52,25,475,7,86.53,14,Rain,Rocky,86,0.6046511627906976
390,5,80,25,215,8,98.74,12,Foggy,Clay,110,0.7272727272727273
391,7,90,15,342,7,96.31,10,Storm,Mixed,112,0.8035714285714286
392,5,92,6,190,6,79.39,14,Rain,Mixed,103,0.8932038834951457
393,8,85,18,479,6,80.72,1,Rain,Mixed,111,0.7657657657657657
394,7,56,22,336,6,89.98,1,Foggy,Sandy,85,0.6588235294117647
395,9,71,16,143,6,83.23,8,Storm,Mixed,96,0.7395833333333334
396,5,50,5,415,9,89.68,9,Foggy,Mixed,60,0.8333333333333334
397,3,81,26,429,7,89.58,6,Clear,Mixed,110,0.7363636363636363
398,4,20,6,442,6,84.77,5,Foggy,Rocky,30,0.6666666666666666
399,6,66,27,320,9,65.28,8,Rain,Clay,99,0.6666666666666666
400,8,65,19,426,10,90.14,11,Foggy,Mixed,92,0.7065217391304348
401,4,29,5,192,7,65.91,11,Clear,Mixed,38,0.7631578947368421
402,4,99,9,287,8,72.73,2,Clear,Rocky,112,0.8839285714285714
403,6,79,9,452,10,89.94,1,Rain,Rocky,94,0.8404255319148937
404,4,55,17,443,8,97.61,9,Storm,Mixed,76,0.7236842105263158
405,5,85,9,495,9,61.39,10,Rain,Clay,99,0.8585858585858586
406,2,39,6,223,8,68.33,10,Foggy,Sandy,47,0.8297872340425532
407,5,42,10,288,6,64.48,9,Clear,Mixed,57,0.7368421052631579
408,2,81,18,227,7,99.3,4,Storm,Sandy,101,0.801980198019802
409,7,27,17,470,11,99.81,6,Clear,Sandy,51,0.5294117647058824
410,6,81,27,296,6,65.45,14,Storm,Clay,114,0.7105263157894737
411,5,79,6,146,11,97.73,8,Rain,Sandy,90,0.8777777777777778
412,5,96,8,496,6,71.73,9,Foggy,Clay,109,0.8807339449541285
413,9,90,29,486,6,99.72,2,Rain,Sandy,128,0.703125
414,3,81,18,186,10,87.17,4,Rain,Sandy,102,0.7941176470588235
415,7,41,18,138,11,95.33,1,Storm,Mixed,66,0.6212121212121212
416,6,26,16,127,6,77.48,10,Storm,Sandy,48,0.5416666666666666
417,5,71,18,173,8,97.13,5,Storm,Mixed,94,0.7553191489361702
418,9,51,15,253,11,99.31,3,Storm,Sandy,75,0.68
419,4,47,18,347,10,79.13,3,Rain,Clay,69,0.6811594202898551
420,7,44,15,123,9,74.36,14,Storm,Mixed,66,0.6666666666666666
421,7,29,10,474,6,67.06,2,Storm,Sandy,46,0.6304347826086957
422,4,31,23,438,11,65.27,7,Foggy,Rocky,58,0.5344827586206896
423,4,79,9,119,8,86.61,2,Rain,Clay,92,0.8586956521739131
424,2,96,16,472,8,77.52,8,Rain,Sandy,114,0.8421052631578947
425,8,52,7,360,7,69.02,5,Rain,Rocky,67,0.7761194029850746
426,9,79,17,441,8,82.93,2,Foggy,Rocky,105,0.7523809523809524
427,8,74,10,189,9,88.25,11,Rain,Mixed,92,0.8043478260869565
428,5,92,11,283,10,70.18,5,Storm,Rocky,108,0.8518518518518519
429,9,99,29,160,11,64.17,6,Foggy,Clay,137,0.7226277372262774
430,5,67,19,354,10,90.69,8,Storm,Clay,91,0.7362637362637363
431,6,36,6,221,10,84.38,3,Foggy,Sandy,48,0.75
432,8,38,12,441,10,90.8,4,Foggy,Mixed,58,0.6551724137931034
433,4,90,15,450,11,90.75,6,Rain,Mixed,109,0.8256880733944955
434,7,38,12,383,7,97.89,4,Clear,Rocky,57,0.6666666666666666
435,6,25,24,230,6,85.08,14,Rain,Rocky,55,0.45454545454545453
436,6,99,7,206,10,61.39,8,Storm,Rocky,112,0.8839285714285714
437,6,54,16,467,10,97.35,6,Rain,Mixed,76,0.7105263157894737
438,8,37,28,292,10,96.25,4,Foggy,Clay,73,0.5068493150684932
439,4,34,20,192,7,82.96,2,Clear,Sandy,58,0.5862068965517241
440,5,57,29,481,11,68.9,4,Clear,Rocky,91,0.6263736263736264
441,6,33,13,394,11,84.88,6,Clear,Mixed,52,0.6346153846153846
442,6,95,13,296,7,67.32,7,Storm,Sandy,114,0.8333333333333334
443,5,70,19,443,11,95.29,4,Clear,Clay,94,0.7446808510638298
444,2,20,27,258,11,96.96,7,Storm,Mixed,49,0.40816326530612246
445,6,39,13,446,8,92.63,12,Foggy,Mixed,58,0.6724137931034483
446,5,41,16,469,9,85.57,7,Storm,Mixed,62,0.6612903225806451
447,2,33,11,418,8,74.03,7,Storm,Clay,46,0.717391304347826
448,5,45,23,313,10,61.62,11,Rain,Mixed,73,0.6164383561643836
449,2,49,19,122,6,60.96,3,Clear,Clay,70,0.7
450,2,96,28,412,6,87.42,3,Clear,Clay,126,0.7619047619047619
451,8,22,10,333,9,76.93,10,Foggy,Sandy,40,0.55
452,6,55,17,387,8,61.63,12,Storm,Clay,78,0.7051282051282052
453,9,54,24,129,9,88.36,14,Clear,Rocky,87,0.6206896551724138
454,9,71,6,487,7,72.47,14,Foggy,Clay,86,0.8255813953488372
455,6,64,20,213,8,84.11,8,Foggy,Mixed,90,0.7111111111111111
456,5,62,15,389,7,83.2,9,Rain,Mixed,82,0.7560975609756098
457,8,31,21,353,6,98.48,3,Foggy,Clay,60,0.5166666666666667
458,7,81,15,320,8,80.82,9,Clear,Clay,103,0.7864077669902912
459,2,30,12,427,7,65.64,14,Rain,Sandy,44,0.6818181818181818
460,6,42,9,329,7,91.32,10,Clear,Sandy,57,0.7368421052631579
461,7,96,18,255,11,91.39,3,Foggy,Sandy,121,0.7933884297520661
462,9,77,14,186,9,76.63,9,Clear,Sandy,100,0.77
463,3,53,25,470,11,68.45,1,Foggy,Mixed,81,0.654320987654321
464,6,50,29,497,9,68.82,10,Clear,Sandy,85,0.5882352941176471
465,6,37,18,381,10,92.53,4,Rain,Clay,61,0.6065573770491803
466,3,22,28,365,11,72.14,3,Storm,Rocky,53,0.41509433962264153
467,2,61,5,160,7,89.58,10,Foggy,Mixed,68,0.8970588235294118
468,3,54,9,382,8,65.65,9,Foggy,Sandy,66,0.8181818181818182
469,3,39,9,102,11,83.9,7,Clear,Clay,51,0.7647058823529411
470,4,97,16,115,9,92.37,2,Foggy,Clay,117,0.8290598290598291
471,7,72,18,149,10,69.51,11,Storm,Sandy,97,0.7422680412371134
472,5,35,8,344,8,88.71,14,Rain,Sandy,48,0.7291666666666666
473,9,84,20,227,7,67.06,10,Storm,Mixed,113,0.7433628318584071
474,7,91,29,359,11,67.07,14,Rain,Mixed,127,0.7165354330708661
475,7,62,16,419,11,60.39,7,Storm,Mixed,85,0.7294117647058823
476,4,87,10,326,8,72.1,11,Storm,Clay,101,0.8613861386138614
477,3,26,29,339,8,79.46,13,Storm,Sandy,58,0.4482758620689655
478,5,72,25,141,7,70.04,9,Rain,Clay,102,0.7058823529411765
479,3,25,6,372,9,80.54,2,Clear,Clay,34,0.7352941176470589
480,9,38,17,232,8,66.5,10,Clear,Rocky,64,0.59375
481,6,93,12,443,11,81.92,7,Storm,Mixed,111,0.8378378378378378
482,9,87,24,393,6,95.95,1,Foggy,Clay,120,0.725
483,4,80,21,386,8,90.77,12,Clear,Clay,105,0.7619047619047619
484,4,21,23,419,6,88.51,1,Clear,Mixed,48,0.4375
485,8,41,6,319,6,95.26,5,Rain,Mixed,55,0.7454545454545455
486,3,40,6,308,9,62.16,7,Storm,Mixed,49,0.8163265306122449
487,5,22,27,489,7,75.82,12,Rain,Sandy,54,0.4074074074074074
488,3,44,19,265,8,62.51,13,Rain,Sandy,66,0.6666666666666666
489,7,35,14,364,9,67.28,13,Foggy,Clay,56,0.625
490,7,92,16,407,6,78.32,1,Storm,Clay,115,0.8
491,8,67,24,159,7,63.15,4,Storm,Mixed,99,0.6767676767676768
492,7,35,14,311,7,91.98,11,Rain,Mixed,56,0.625
493,6,95,7,158,6,86.51,6,Rain,Rocky,108,0.8796296296296297
494,9,66,27,283,8,97.04,2,Foggy,Sandy,102,0.6470588235294118
495,7,70,13,219,10,61.72,2,Storm,Sandy,90,0.7777777777777778
496,4,84,24,273,7,79.88,13,Rain,Rocky,112,0.75
497,7,78,26,193,11,84.5,9,Storm,Rocky,111,0.7027027027027027
498,2,73,8,234,9,74.74,2,Foggy,Rocky,83,0.8795180722891566
499,3,75,27,478,6,71.82,2,Storm,Rocky,105,0.7142857142857143
500,7,26,9,316,11,74.56,10,Clear,Rocky,42,0.6190476190476191
